Ranking,Nombre,Cargo,Patrimonio_Mill.euros,Ranking_2017,Ranking_Sexo,Ranking_CCAA,Valor_bolsa.100,Variacion_patrimonio.100,Variacion_patrimonio,Sector,Empresas,Descripcion,CCAA,Familia
190,Familia Rivera,Dueña de Estrella Galicia,240,183,96,14,0,9.1,20,"Alimentación, Bebidas",Estrella Galicia,"Dos discretos primos, Ignacio y José María Rivera, encabezan la cuarta generación familiar al frente de la Corporación Hijos de Rivera.                                El grupo ha cuadruplicado sus ventas en seis años hasta los 400 millones (2016) y emplea a cerca de 1.000 personas. La compañía distribuye también las marcas del grupo SabMiller en España.                                En enero de 2018, un informe de la consultora Interbrand, especializada en marcas, sitúo a la cercevera entre las 30 más valiosas de España, con un valor estimado de 288 millones.                                En 2017, Ignacio Rivera y otros socios compraron el 39% del Racing de Ferrol, a través de la sociedad Elite Administración y Gestión.                            ",Galicia,NA
189,Familia Campo Saez,Dueña de Rodonita y Cerámica Campo,240,163,95,13,0,0,0,"Construcción, Contratas","Cerámica Campo, Macovit","La vieja fábrica de ladrillos, tejas y adoquines de la familia Campo es el germen del imperio que dejó el empresario Epifanio Campo, fallecido en 2016.                                Desde las arcillas de Laracha, en La Coruña, Campo se pasó al metal de la mano de su vecino Manuel Añón. Juntos vendieron a Celsa su fábrica de aceros por 415 millones en el año 2007.                                Junto a Manuel Jove y Elecnor invirtió en energía eólica. Antes, había invertido en el malogrado Banco Gallego, donde era socio de referencia junto a Amancio Ortega.                                Comparte con el empresario Amador Castro el grupo Macovit, que gestiona las contratas de ITV en Galicia y es dueño de la constructora Abeconsa y otros negocios de combustibles e inmobiliarios.                                Desde 2012, dos de sus tres hijos, Blanca y Jacobo Campo Saez, fueron haciédose cargo de los negocios.                            ",Galicia,NA
188,Familia Vall Pla,Propietarias del Grupo Harinera Vilafranquina,240,NA,94,53,1.7,NA,NA,Alimentación,Harinera Vilafranquina,"Los Vall Pla participan en la mayor harinera del país, la Harinera Vilafranquina, radicada en Vilafranca del Penedés.                                El hólding HV factura 400 millones gracias a sus 8 fábricas (la mayor, en Cádiz), y es propietaria de marcas conocidas como La Preferida y Oromas (pastas y fideos), así como la Harinera del Pisuerga (en Alar del Rey, Palencia) y Harinas Guria (Navarra).                                Las hermanas Montserrat y Concepción Vall Pla controlan el 50% del grupo harinero. La otra mitad está en manos de Josep María Solà Vall y su familia (Sola Vilanova).                                Parte de la familia, Ramón y Josep Vall Pla invierten en inmuebles. Sus patrimoniales Lleidacamp y Castell Fergui invierten en locales de lujo en torno al Paseo de Gracia, viviendas y otros inmuebles en España y Sudamérica.                                Suya es la marca de electrodomésticos Pando (Inoxpan) y una sicav.                            ",Cataluña,NA
187,Familia Sumarroca,Copropietarios de Comsa,240,156,93,52,0,-11.1,-30,"Construcción, Agricultura, Vino","Comsa, Agromillora","Valora su 30% en la constructora catalana Comsa en 180 millones (2016), sociedad que comparte con la familia Miarnau.                                En enero de 2018, la constructora familiar Top Proyectos y Contratas (antigua Teyco) se declaró en concurso de acreedores, con deudas de 43 millones.                                Teyco había cambiado de nombre por su vinculación en el 'caso Pujol'. Jordi Sumarroca Claverol fue procesado por el presunto pago de comisiones en Torredembarra.                                Bardesana, Pilsuna y Sumol, las patrimoniales de la familia, comparten el vivero Agro Millora (30%), valorado en 200 millones, en sociedad con el fondo de Bahrein Investcorp (50%).                            ",Cataluña,NA
186,Familia Martínez Ruiz,"Dueños de Pan Star, Panamar y Panusa",240,188,92,5,0,14.3,30,Alimentación,"Panstar, Panamar","PanStar, controlada por los antiguos dueños de Reposterías Martínez, compite con Berlys y Eurpastry por el trono del negocio del pan, con un negocio de 220 millones (2016).                                Tiene una plantilla de 1.200 personas en sus diferentes filiales, con Panamar y Frimar a la cabeza, y un potente plan de inversiones en sus plantas y de adquisiciones.                                En 2016 adquirió la panificadora ampurdanesa Pacfren a la familia Cullel por unos 25 millones.                                Panstar está presidida por Isabel Martínez Ruiz. Construye en Albuixech (Valencia) las nuevas oficinas centrales del grupo.                                La panificadora cántabra Panusa, en manos de uno de los socios de Panstar, tiene dos fábricas y factura 29 millones (2016).                            ",Cantabria,NA
185,José Moya y Concha Yoldi,Dueños de Persán Detergentes,240,162,76,13,7.3,0,0,"Industria, Química",Persán,"Su alianza con Mercadona en 1997 explica el crecimiento exponencial de Persán en las últimas décadas, hasta generar un negocio de 500 millones.                                Explota las marcas Flota y Puntomatic y la gama de productos El Bosque Verde, la marca blanca de Mercadona. Persán también fabrica los detergentes para la cadena británica Tesco.                                El fabricante sevillano de detergentes, uno de los mayores de su sector en Europa, lleva en manos de la familia desde los años 40.                                Sanabria es dueño de la finca El Parralejo, 400 hectáreas en Zufre (Sevilla), la sicav Sándalos y la socimi Trajano Iberia (5,5%).                                Desde hace diez años, la Fundación Persán se centra el la atención a la población migrante.                            ",Andalucía,NA
184,Familia Serna Lorente,Propietaria de Torreblanca del Mediterráneo,240,NA,91,15,0,NA,NA,"Inmuebles, Construcción",Torreblanca del Mediterráneo,"Asentados en Torrevieja, los Serna regentan desde 1969 una de las mercantiles que mayor volumen de viviendas ha construido en la provincia de Alicante en las tres últimas décadas.                                Torreblanca del Mediterráneo Sol SL, matriz del grupo, consolida un patrimonio de 243 millones (2016).                                Mar de Pulpí, frente a la playa de San Juan de los Terreros (Almería), es su desarrollo estrella en el Mediterráneo.                                Su fundador, José Luis Serna Almodó, fallecido en 2012, fue el primer presidente de la Asociación de Promotores y Constructores de Viviendas de Torrevieja y Comarca (Procosta).                                TM grupo también explota 70 hectáreas agrícolas donde cultiva brócoli, naranjas sandías y melones.                            ",Comunidad Valenciana,NA
183,Familia Ballester Ríos,Propietario de Inmobiliaria Igsa,250,166,90,14,0,4.2,10,"Inmuebles, Turismo",Igsa,"Enrique Ballester y su hijo concentran activos -oficinas, centros comerciales residenciales y hoteles- en la zona centro de Valencia y en su área metropolitana.                                A través de Inmobiliaria Guadalmedina (Igsa) asumió parte del patrimonio que compartía con sus hermanos, tras la división de la empresa familiar hace 15 años.                                Una de sus propiedades icónicas es el Sorolla Center, junto al Palacio de Congresos de Valencia. También es dueño del Edificio Lucini, el palacio de los Condes de Buñol, el edificio Ciudad de Brujas y el Trade Center.                                A través de la firma Destro (51%), el empresario invierte en cámaras frigoríficas junto la familia Sánchez Puchal.                                En 2017, Igsa entró en la promotora cotizada Quabit (1,57%) tras capitalizar un préstamo.                            ",Comunidad Valenciana,NA
182,Mirta Giesso Cazenave,Consejera y accionista de Prosegur,250,181,18,37,91.7,13.6,30,"Servicios, Seguridad",Prosegur,"Giesso es la viuda de Graciano Álvarez Sánchez, uno de los fundadores de Prosegur. Tiene en su poder 34,7 millones de acciones de la multinacional de contratas de seguridad (un 5,6%).                                Es la tercera mayor accionista de la firma de seguridad detrás de Helena Revoredo y el fondo Oppenheimer, y ocupa un asiento en su Consejo desde el año 2000.                                Junto a sus cuatro hijas -Guadalupe, Eugenia, Pilar y Luz- controla la sociedad AS Inversiones, que invierte además en inmuebles (Corpfin Capital).                                En los últimos diez años, Prosegur ha multiplicado su negocio por cinco, de 700 a 3.900 millones (2016).                            ",Madrid,NA
181,Familia Gallés Gabarró,Propietaria de Europastry,260,152,89,51,0,-3.7,-10,Alimentación,Europastry,"Jordi, Anna y Eva Gallés, hijos del panadero catalán Pedro Gallés, se reparten el 75,2% de Europastry, la primera panificadora del país, con un negocio de 450 millones.                                Quinto fabricante de masas congeladas del mundo (tiene 3.300 empleados), Europastry vende en 51 países y tiene plantas en España, Holanda, Estados Unidos y Turquía.                                En 2017, adquirió la panificadora gallega Ingapan (Dona Vaniri y Don León) a los hermanos Chousa, de Lugo, de los que ya era socio en el País Vasco.                                Ha puesto Latinoamérica en el punto de mira, tras adquirir la distribuidora de masas congeladas Crandon, en Chile.                            ",Cataluña,NA
180,Familia Corsini Muñoz,Ex dueños de Corsán-corvián,260,173,88,36,6.8,13,30,Inmuebles,ex Corsán,"La familia Corsini Muñoz vive de las rentas de la venta de la constructora Corsán en 2004.                                Sicav, fincas, la sociedad Valdenera Agropecuaria, un 10% de Bodegas Riojanas e inmuebles en Madrid capital y alrededores conforman su patrimonio.                                Sus primos, Miguel y Francisco Javier Corsini Freese, son los Corsini más conocidos. El primero fue presidente de Renfe en la era Aznar y consejero de Caja Madrid en la era de las 'tarjetas black'. El segundo es un conocido organizador de cacerías para la alta sociedad.                            ",Madrid,NA
179,Wolfgang Kiessling,Dueño de Loro Parque,260,170,75,3,2.4,8.3,20,Turismo,Loro Parque,"A sus 80 años (47 de ellos en Tenerife), sigue regentando el grupo de zoológicos y ocio Loro Parque, una de las atracciones turísticas con más afluencia de Canarias. Más de 43 millones de personas los han visitado desde su apertura en los años 70.                                Loro Parque es extremadamente rentable, con resultados positivos anuales superiores a los 20 millones y un patrimonio neto de 260 millones.                                En 2013 comenzó el proyecto del acuario Pema del Mar, en Gran Canaria, que fue inaugurado en diciembre de 2017, tras una inversión de 25 millones. Quiere atraer a más de 500.000 visitantes al año.                                En 2015 abrió el restaurante El Brunelli's en Puerto de la Cruz (Tenerife) y es dueño de una sicav con 6,4 millones.                            ",Canarias,NA
178,Josep María 'Tatxo' Benet Ferran,Socio y fundador de Mediapro,260,NA,74,50,0.3,NA,NA,Comunicación,"Imagina, Mediapro","A finales de 2017, Imagina Media (12%) fue valorada en 1.600 millones en el marco de la venta del 53% del capital al fondo chino Orient Capital.                                Tres socios de peso, Juan Abelló (22,5%), la mexicana Televisa (19%) y uno de los tres fundadores, Gerard Romy (12%), vendieron sus acciones por 850 millones. Imagina factura 1.600 millones (2016).                                Benet y Jaume Roures suman el 24% de la multinacional española, propietaria de un 4,2% de Atresmedia -donde es consejero- y de los derechos de la Liga de Fútbol y la Champions League.                                El periodista y empresario controla la sociedad Atas Corp, que invierte además en inmobiliarias y otras sociedades audiovisuales.                                En 1998, Benet tomó la mayoría del capital de la UE Lleida. Su plan para evitar la ruina del club fracasó y vendió en 2010. En 2011 quebró y desapareció.                            ",Cataluña,NA
177,Ricardo Leal Cordobés,Dueño de Cristian Lay,260,168,73,2,0,8.3,20,"Moda, Energía",Cristian Lay,"Las 27 participadas del grupo extremeño Cristian Lay mueven un negocio próximo a los 500 millones (2016) y combinan actividades energéticas (Enersun), industriales, agrícolas y de venta por catálogo.                                En junio de 2017 cerró la compra del 95% del grupo de renovables vasco GES, una antigua división de Gamesa, que será la punta de lanza de su filial energética.                                DC Gas Extremadura, su filial de suministro de gas natural desde 2003, tiene en torno a 90.000 puntos de suministro en la región.                                Cristian Lay se presenta como el ""primer fabricante de bisutería de Europa"", con 10.000 referencias.                                Su división industrial incluye Ondupack, una fábrica de envases de cartón en Almendralejo (Badajoz). En 2014 la química Plastiverd, que fabrica envases de plástico (PET) y polímeros técnicos, con sede en Cornellá (Barcelona).                            ",Extremadura,NA
176,Emilio Restoy y familia,Dueños de Licor 43,270,165,87,7,0,12.5,30,"Alimentación, Bebidas, Vino","Zamora Company, Ramón Bilbao","Limoncello Massa, el mayor productor y exportador de limoncello de Italia, es la última adquisición de Zamora Company, dueña del Licor 43, el pacharán Zoco y las bodegas Ramón Bilbao.                                Ocho miembros de las familia Zamora se reparten la licorera de Cartagena, que mueve un negocio próximo a los 160 millones.                                Su división bodeguera cuenta con bodegas en Rioja (Ramón Bilbao), Rueda (Monte Blanco), Ribera del Duero (Cruz de Alba), Rías Baixas (Mar de Frades) y Navarra (Palacio de Vega). En 2017 compró la marca de sangría Lolea.                                La familia comparte también la inmobiliaria Urbincasa, dueña de promociones y locales en Alicante y Murcia.                            ",Murcia,Familia
175,Familia Salegui,Accionistas de Cie Automotive y Vidrala,270,200,86,15,98.9,42.1,80,"Industria, Automoción","Cie Automotive, Vidrala","Los nietos del empresario vasco Gabriel Salegui Iriondo inviertieron en Bolsa buena parte de lo obtenido hace doce años por la empresa que fundó, Transportes La Guipuzcoana, vendida a DHL por 420 millones.                                Addvalia, su brazo inversor, tomó en 2007 participaciones en Cie Automotive (5%) y Vidrala (5,4%), que en 2017 volvieron a disparar su cotización.                                Aitor Salegui Escolano representa a la familia en Vidrala desde 2008, mientras que su prima Maite Salegui Arbizu lo hace, desde 2007, en Cie Automotive.                                Esteban Salegui, por su parte, es consejero de Bankoa Crédit Agricole y está vinculado a la escuela de negocios Deusto Business School.                            ",País Vasco,NA
174,Sabino García Vallina,Propietario de TSK Ingeniería,280,157,72,5,1.8,7.7,20,Industria,TSK Ingeniería,"Se ha colado entre las grandes ingenierías españolas gracias a contratos como el obtenido el año pasado en Omán, valorado en 500 millones, donde construirá el mayor parque eólico del Golfo Pérsico.                                El grupo factura en torno a 1.000 millones de euros, el 97% fuera de España.                                TSK tiene obras en curso en 27 países. El sector de la energía representa el 60% de su facturación.                                Llegó a ser el máximo accionista de la asturiana Duro Felguera, de la que se desvinculó en 2013. Conserva en cambio un 9,95% en Sniace.                            ",Asturias,NA
173,Gerard Romy Belilos,Ex socio de Mediapro,280,NA,71,49,0.8,NA,NA,Comunicación,"Imagina, Mediapro","A finales de 2017, Juan Abelló (22,5%), Televisa (19%) y uno de los tres fundadores, Gerard Romy (12%), cerraron la venta de su 53,5% de Imagina Media, dueña de Mediapro, al fondo chino Orient Capital.                                La operación se concretó en 850 millones de euros, lo que valora Mediapro, que explota los derechos de la Liga española (LFP), en 1.800 millones de euros.                                Los otros dos fundadores, los catalanes Jaume Roures y 'Tatxo' Benet, con un 12% cada uno, se mantienen en el capital y al frente de la gestión.                                Romy y su familia controlan la empresa Mediavideo, con sede en Barcelona, con filiales en España, Francia y Holanda.                            ",Cataluña,NA
172,José María Losantos del Campo,Propietaria de Neinver,280,155,70,3,0,3.7,10,Inmuebles,Neinver,"La familia riojana Losantos Santorromán controla Neinver, el segundo operador de outlet (Factory y The Style) de Europa, líder en España y Polonia.                                Losantos creó la constructora en 1969 y hace veinte años se especializó en la construcción de centros de descuento. Está en ocho países y gestiona una veintena de centros, seis de ellos en España.                                Daniel Losantos Egea, el menor de los cinco hijos del fundador, lleva las riendas de la empresa, asentada en Alcobendas (Madrid).                                En 2016, Neinver creó Neptune, una sociedad al 50% con el fondo de pensiones norteamericano TIAA Creef, que ya suma 13 activos en Europa valorados en 1.300 millones de euros.                                Otra rama familiar, los Losantos Ucha, ex dueños de Riofisa, controlan el hólding Allegra.                            ",La Rioja,NA
171,Tomás Pascual Gómez-Cuétara y familia,Presidente del Grupo Pascual,280,160,85,6,0,12,30,"Alimentación, Láctea",Grupo Pascual,"La familia de Aranda de Duero (Burgos) gestiona el legado del empresario segoviano Tomás Pascual (1926-2006): el grupo lácteo creado en 1969, dueño de las marcas Pascual, Bezoya y ViveSoy, que mueve un negocio próximo a los 700 millones.                                La corporación es dueña también de una constructora y del hólding inmobiliario La Quinta, en Marbella, que gestiona Borja Pascual.                                Para recortar su deuda financiera (208 millones en 2016), entre 2013 y 2015 el grupo vendió activos en sus áreas de zumos (Palma), lácteos (Frixia) e inmobiliario (La Quinta Golf & Country Club y el campo de golf de 27 hoyos).                                Su nuevo proyecto, Real de La Quinta (200 hectáreas), en Benahavís, será un residencial de lujo con otras 1.500 viviendas.                            ",Castilla y León,Familia
170,Antón María Pradera Jauregui,Accionista de Cie Automotive,280,182,69,14,89.5,27.3,60,"Industria, Automoción",Cie Automotive,"En enero de 2018 abandonó la presidencia ejecutiva de Cie Automotive tras 15 años en el cargo, pasando a ser consejero dominical. Controla en torno al 7,5% de la sociedad.                                Compone el núcleo duro vinculado al País Vasco del fabricante de piezas de automóvil Cie Automotive, junto a las familias Salegui y Egaña.                                Con él al timón, la firma vizcaína se ha convertido en un referente del sector de la automoción, con un negocio superior a los 3.000 millones en 2017 y una plantilla de 26.000 personas.                            ",País Vasco,NA
169,Ricardo Urgell Martí y familia,Ex propietarios de Grupo Pachá,280,140,68,48,0,-6.7,-20,Turismo,Pachá,"En febrero de 2017 se cerró el acuerdo para la entrada del fondo Trilantic en el capital del Grupo Pachá, valorado en 350 millones.                                ""Me duele vender"", comentó el empresario, que se mantiene en el capital, mientras que parte de su familia ha salido del mismo.                                Grupo Pachá fue fundado en Sitges por el empresario catalán. Su sede y sus principales activos están en la isla de Ibiza.                                El grupo de ocio regenta discotecas, hoteles (el resort Destino y el Hotel Pachá) y restaurantes (Lío). Es dueño de publicaciones impresas y una red franquicias (16 grandes discotecas).                            ",Cataluña,Familia
168,Familia Argüelles Salaverría,Ex propietarios del Banco de Alcalá,280,149,84,35,0,3.7,10,"Finanzas, Banca",ex Banco de Alcalá,"Los Argüelles fueron una de las familias históricas de Banesto junto a los Martínez Campos, Gómez Acebo y Garnica. Todas salieron de la entidad con la llegada de Mario Conde y Juan Abelló.                                En 1989 Jacobo Argüelles fundó el Banco de Alcalá, centrado en banca privada, que vendió en 2011 a Crédit Andorrà.                                Cada rama familiar de los Argüelles Salaverría dispone de sus sociedad patrimonial. Todas participan en la sociedad Inmobiliaria Aspa, ubicada en Madrid.                            ",Madrid,NA
167,José Manuel Loureda Mantiñán,Fundador y socio de Sacyr,280,149,67,12,36.7,0,0,"Construcción, Contratas","Sacyr, Repsol","Sacyr, la constructora que cofundó el ingeniero coruñés, ha superado el bache de deuda asociado a la compra de Repsol durante la burbuja inmobiliaria.                                En 2013, Loureda vendió el 4% de Sacyr. Aún así, mantiene dos sillones en su Consejo de Administración, que ocupan él mismo y su hijo José Manuel Loureda López.                                Daniel Loureda, otro de sus seis hijos, también estuvo vinculado a Sacyr Vallehermoso. Regenta Crisoda Inversiones, que en 2016 constituyó varias inmobiliarias en el centro de Madrid.                                Prilou, la sociedad matriz del empresario gallego, suma un patrimonio neto de 273 millones. Su 7,8% en la constructora está valorado en torno a los 100 millones.                                Desde 2007, Loureda representa a Sacyr en el Consejo de Repsol y encabeza la filial de residuos Valoriza.                            ",Galicia,NA
166,Pilar Muro Navarro e hijas,Ex accionista del Grupo Hospitalario Quirón - USP,290,115,17,4,0,-22.7,-85,Salud,"ex Quirón, Philyra","Quirón, la red de hospitales que fundó su marido, forma ya parte de la historia de la familia Cordón Muro.                                En 2015 Pilar Muro y sus cuatro hijas vendieron con generosas ganancias su emporio hospitalario y firmaron una cláusula de no competencia por cinco años.                                Un año antes, habían fusionado Quirón con la red de hospitales USP, que poco después acabó en manos del fondo CVC. La operación había valorado sus centros en unos 400 millones.                                Muro y su hija María controlan ahora las sociedades Philyra, con un patrimonio de 262 millones de euros, y Progreso e Inversión (Pisa).                            ",Aragón,NA
165,Familia Biosca Carbonell,Socia (15%) de Disa Corporación,290,NA,83,34,1,NA,NA,"Industria, Transporte, Energía",Disa Corporación,"Los Biosca (tres ramas) controlan el 15,7% de la distribuidora de petróleo Disa Corporación (600 gasolineras), accionista de control en Damm y Sacyr, en sociedad con las viejas sagas de los Carceller, Figueras Dotti, Recasens, Carceller y Ribas, vinculadas a Campsa.                                Aportan a Disa su brazo naval -Distribuidora Marítima Petrogás, la antigua Naviera Petrogás-, que fundó en 1967 Ramón Biosca Torrent.                                Antonio Biosca Carbonell, octogenario, reside en el norte de Madrid. Su nombre figura en los anales de la caza española.                                Uno de sus sobrinos, el financiero Javier Adroher Biosca (1963) es consejero de Sacyr desde 2011.                                La familia invierte en inmobiliarias y también participa en la sicav Ricasa (Renta insular Canaria), que guarda 55 millones (sep. 2017).                            ",Madrid,NA
